start_ip,end_ip,join_key,name,country,mcc,mnc
186.18.32.0,186.18.35.255,186.18.0.0,Movistar,AR,722,10
139.207.0.0,139.207.255.255,139.207.0.0,China Telecom,CN,460,11
154.148.34.0,154.148.34.255,154.148.0.0,IAM,MA,604,1
62.183.148.0,62.183.148.255,62.183.0.0,DNA,FI,244,12
91.251.73.0,91.251.73.255,91.251.0.0,Mobile Communication Company of Iran PLC,IR,432,11
105.32.99.0,105.32.99.255,105.32.0.0,Orange,EG,602,1
126.158.178.0,126.158.178.255,126.158.0.0,SoftBank,JP,441,1
86.124.20.0,86.124.20.255,86.124.0.0,Digi Romania,RO,226,05
131.226.64.0,131.226.67.255,131.226.0.0,Dito Telecommunity Corp.,PH,515,66
88.250.206.0,88.250.206.255,88.250.0.0,Vodafone,TR,286,2
2601:152:600::,2601:152:600:ffff:ffff:ffff:ffff:ffff,2601:152::,T-Mobile,US,310,53
95.147.108.0,95.147.108.255,95.147.0.0,EE High Speed Internet,GB,234,30
2800:370:f8::,2800:370:f8:ffff:ffff:ffff:ffff:ffff,2800:370::,Claro,EC,740,1
86.184.111.0,86.184.111.255,86.184.0.0,BT,GB,234,76
2607:fc20:e070::,2607:fc20:e070:ffff:ffff:ffff:ffff:ffff,2607:fc20:c000::,T-Mobile,US,310,160
154.132.245.0,154.132.246.255,154.132.0.0,Mobinil,EG,602,1
2607:fb90:136d::,2607:fb90:136d:ffff:ffff:ffff:ffff:ffff,2607:fb90::,T-Mobile,US,310,53
154.136.121.0,154.136.121.255,154.136.0.0,Orange,EG,602,1
105.33.163.0,105.33.164.255,105.33.0.0,Orange,EG,602,1
195.89.232.0,195.89.232.255,195.89.0.0,Vodafone Limited,GB,234,15
171.98.81.0,171.98.81.255,171.98.0.0,True Online,TH,520,04
2402:8100:2395::,2402:8100:2395:ffff:ffff:ffff:ffff:ffff,2402:8100::,Vodafone Idea,IN,404,01
2401:4900:301c::,2401:4900:301d:ffff:ffff:ffff:ffff:ffff,2401:4900::,AirTel,IN,404,2
46.223.162.0,46.223.162.255,46.223.0.0,Vodafone Germany,DE,262,02
105.135.18.0,105.135.32.255,105.135.0.0,IAM,MA,604,1
112.215.229.0,112.215.229.255,112.215.0.0,XL,ID,510,11
2401:4900:3590::,2401:4900:35a4:ffff:ffff:ffff:ffff:ffff,2401:4900::,AirTel,IN,404,2
154.131.46.0,154.131.46.255,154.131.0.0,Orange,EG,602,1
95.74.67.0,95.74.75.255,95.74.0.0,Telecom Italia Mobile,IT,220,01
2a02:c7f:5a55::,2a02:c7f:5a55:ffff:ffff:ffff:ffff:ffff,2a02:c7f:4000::,Sky Broadband,GB,234,57
31.77.61.0,31.77.61.255,31.77.0.0,EE,GB,235,1
2a00:20:201e::,2a00:20:201e:ffff:ffff:ffff:ffff:ffff,2a00:20::,Vodafone GmbH,HU,216,70
81.132.89.0,81.132.89.255,81.132.0.0,BT,GB,234,76
2409:4055:41a::,2409:4055:41a:ffff:ffff:ffff:ffff:ffff,2409:4055::,Jio,IN,405,840
126.253.173.0,126.253.174.255,126.253.0.0,SoftBank Mobile Corp,JP,441,1
83.199.76.0,83.199.76.255,83.199.0.0,Orange,FR,208,1
171.51.132.0,171.51.132.255,171.51.0.0,AirTel,IN,404,2
2600:380:5f75::,2600:380:5f76:ffff:ffff:ffff:ffff:ffff,2600:380:4000::,AT&T,US,310,16
154.111.77.0,154.111.78.255,154.111.0.0,OOREDOO TN,TN,605,3
151.135.251.0,151.135.255.255,151.135.0.0,Avea,TR,286,4
147.147.231.0,147.147.231.255,147.147.0.0,Plusnet,GB,234,00
2409:4070:460b::,2409:4070:460b:ffff:ffff:ffff:ffff:ffff,2409:4070:4000::,Jio,IN,405,840
31.215.146.0,31.215.146.255,31.215.0.0,Etisalat,AE,424,2
2a00:23c6:f447::,2a00:23c6:f447:ffff:ffff:ffff:ffff:ffff,2a00:23c6:c000::,BT,GB,234,76
105.45.119.0,105.45.120.255,105.45.0.0,Mobinil,EG,602,1
133.106.136.0,133.106.136.255,133.106.0.0,NTT Docomo,JP,440,10
80.12.83.0,80.12.83.255,80.12.0.0,SFR,FR,208,8
105.129.8.0,105.129.8.255,105.129.0.0,IAM,MA,604,1
102.9.177.0,102.9.177.255,102.9.0.0,Vodafone,EG,602,2
45.107.36.0,45.107.36.255,45.107.0.0,Mobinil,EG,602,1
5.119.0.0,5.119.17.255,5.119.0.0,MTN Irancell,IR,432,35
90.249.189.0,90.249.189.255,90.249.0.0,Vodafone UK,GB,234,7
146.251.152.0,146.251.157.255,146.251.0.0,Mobily,SA,420,3
151.37.32.0,151.37.38.255,151.37.0.0,Wind,IT,222,88
188.131.36.0,188.131.37.255,188.131.0.0,Orange,MD,259,1
5.122.55.0,5.122.55.255,5.122.0.0,Iran Cell Service and Communication Company,IR,432,35
105.153.82.0,105.153.82.255,105.153.0.0,IAM,MA,604,1
154.109.141.0,154.109.141.255,154.109.0.0,OOREDOO TN,TN,605,3
196.80.150.0,196.80.150.255,196.80.0.0,Wana%20Corporate,MA,604,2
84.71.118.0,84.71.118.255,84.71.0.0,Vodafone UK,GB,234,7
182.1.160.0,182.1.164.255,182.1.0.0,Telkomsel,ID,510,10
5.47.128.0,5.47.128.255,5.47.0.0,Turk Telekom,TR,286,3
178.98.5.0,178.98.5.255,178.98.0.0,EE,GB,235,1
240a:18:4830::,240a:18:4832:ffff:ffff:ffff:ffff:ffff,240a:18:4000::,NTT docomo,JP,440,10
78.95.20.0,78.95.20.255,78.95.0.0,Al Jawal (STC ),SA,420,1
2804:2904:10e::,2804:2904:10e:ffff:ffff:ffff:ffff:ffff,2804:2904::,Claro,BR,724,5
154.142.15.0,154.142.15.255,154.142.0.0,Mobinil,EG,602,1
171.77.148.0,171.77.151.255,171.77.0.0,AirTel,IN,404,70
110.225.49.0,110.225.49.255,110.225.0.0,AirTel,IN,404,2
2804:29b8:5119::,2804:29b8:5119:ffff:ffff:ffff:ffff:ffff,2804:29b8:4000::,Oi,BR,724,30
81.174.218.0,81.174.218.255,81.174.0.0,Plusnet,GB,234,00
2806:370:e500::,2806:370:e52f:ffff:ffff:ffff:ffff:ffff,2806:370:c000::,Telcel,MX,334,20
201.230.248.0,201.230.248.255,201.230.0.0,Claro,PE,716,10
106.78.51.0,106.78.51.255,106.78.0.0,Idea Cellular,IN,404,4
154.188.241.0,154.188.242.255,154.188.0.0,Etisalat,EG,602,3
157.42.132.0,157.42.134.255,157.42.0.0,Jio,IN,405,840
2409:4072:491::,2409:4072:493:ffff:ffff:ffff:ffff:ffff,2409:4072::,Jio,IN,405,840
2600:100f:1152::,2600:100f:1154:ffff:ffff:ffff:ffff:ffff,2600:100f::,Verizon,US,310,4
201.130.58.0,201.130.61.255,201.130.0.0,AT&T / Unefon,MX,334,50
187.189.165.0,187.189.166.255,187.189.0.0,Telcel,MX,334,20
2607:fb90:e848::,2607:fb90:e849:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,160
2607:fb90:f334::,2607:fb90:f334:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,160
2409:4061:2002::,2409:4061:2002:ffff:ffff:ffff:ffff:ffff,2409:4061::,Jio,IN,405,840
197.223.173.0,197.223.175.255,197.223.0.0,Mobinil,EG,602,1
2803:d100:1000::,2803:d100:1000:ffff:ffff:ffff:ffff:ffff,2803:d100::,Tigo,GT,704,2
154.151.3.0,154.151.3.255,154.151.0.0,IAM,MA,604,1
2a00:23c4:9a00::,2a00:23c4:9a00:ffff:ffff:ffff:ffff:ffff,2a00:23c4:8000::,BT,GB,234,76
109.156.201.0,109.156.201.255,109.156.0.0,BT,GB,234,76
188.222.93.0,188.222.94.255,188.222.0.0,Sky Broadband,GB,234,57
126.255.70.0,126.255.70.255,126.255.0.0,SoftBank,JP,440,20
105.34.124.0,105.34.124.255,105.34.0.0,Mobinil,EG,602,1
2a00:1fa1:8652::,2a00:1fa1:8653:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:8000::,MTS,RU,250,1
183.182.120.0,183.182.120.255,183.182.0.0,Unitel,LA,457,3
2a02:c7f:8f31::,2a02:c7f:8f31:ffff:ffff:ffff:ffff:ffff,2a02:c7f:8000::,Sky Broadband,GB,234,57
124.122.42.0,124.122.43.255,124.122.0.0,AIS,TH,520,1
201.240.116.0,201.240.116.255,201.240.0.0,Claro,PE,716,10
5.114.161.0,5.114.161.255,5.114.0.0,Iran Cell Service and Communication Company,IR,432,35
105.192.238.0,105.192.238.255,105.192.0.0,Orange,EG,602,1
113.203.114.0,113.203.115.255,113.203.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
160.170.220.0,160.170.220.255,160.170.0.0,IAM,MA,604,1
2a00:1fa1:c2e2::,2a00:1fa1:c2e2:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:c000::,MTS PJSC,RU,251,01
2607:fb90:5020::,2607:fb90:5021:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,53
2409:4060:419::,2409:4060:41a:ffff:ffff:ffff:ffff:ffff,2409:4060::,Jio,IN,405,840
105.89.229.0,105.89.242.255,105.89.0.0,Etisalat,EG,602,3
2a01:cb01:3035::,2a01:cb01:3035:ffff:ffff:ffff:ffff:ffff,2a01:cb01::,Orange,FR,208,1
2607:fb90:7a5c::,2607:fb90:7a5d:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,160
5.114.97.0,5.114.97.255,5.114.0.0,Iran Cell Service and Communication Company,IR,432,35
46.51.13.0,46.51.14.255,46.51.0.0,Mobile Communication Company of Iran PLC,IR,432,11
95.150.93.0,95.150.93.255,95.150.0.0,EE,GB,235,1
178.106.131.0,178.106.134.255,178.106.0.0,T-Mobile UK,GB,234,30
114.76.122.0,114.76.122.255,114.76.0.0,Optus,AU,505,2
196.87.223.0,196.87.223.255,196.87.0.0,IAM,MA,604,1
2a00:23c6:b717::,2a00:23c6:b717:ffff:ffff:ffff:ffff:ffff,2a00:23c6:8000::,BT,GB,234,76
2001:16a2:f8a3::,2001:16a2:f8a3:ffff:ffff:ffff:ffff:ffff,2001:16a2:c000::,Zain SA,SA,420,4
2405:204:a684::,2405:204:a685:ffff:ffff:ffff:ffff:ffff,2405:204:8000::,Jio,IN,405,840
2405:201:a803::,2405:201:a803:ffff:ffff:ffff:ffff:ffff,2405:201:8000::,AirTel,IN,404,2
5.168.113.0,5.168.113.255,5.168.0.0,Telecom Italia Mobile,IT,220,01
2600:381:27::,2600:381:27:ffff:ffff:ffff:ffff:ffff,2600:381::,AT&T,US,310,16
105.47.8.0,105.47.8.255,105.47.0.0,Vodafone,EG,602,2
5.52.66.0,5.52.67.255,5.52.0.0,Mobile Communication Company of Iran PLC,IR,432,11
190.238.29.0,190.238.29.255,190.238.0.0,Claro,PE,716,10
